0,0
100,68
201,80
301,92
401,92
501,91
601,117
701,122
801,132
901,130
1001,144
1101,149
1201,147
1301,145
1401,146
1501,149
1601,152
1701,162
1801,158
1901,166
2001,169
2101,176
2201,175
2301,183
2401,179
2501,177
2601,181
2701,186
2801,180
2901,182
3001,194
3101,189
3201,208
3301,192
3401,203
3501,195
3601,198
3701,213
3801,212
3901,210
4001,215
4101,211
4201,219
4301,222
4401,228
4501,230
4601,227
4701,235
4801,222
4901,240
5001,235
5101,235
5201,244
5301,250
5401,250
5501,253
5601,254
5701,257
5801,252
5901,249
6001,255
6101,277
6201,265
6301,263
6401,260
6501,264
6601,278
6701,272
6801,280
6901,276
7001,279
7101,282
7201,293
7301,302
7401,298
7501,302
7601,301
7701,302
7801,307
7901,308
8001,305
8101,315
8201,305
8301,310
8401,324
8501,321
8601,326
8701,329
8801,330
8901,328
9001,337
9101,328
9201,336
9301,342
9401,333
9501,344
9601,346
9701,355
9801,354
9901,352
10001,363
10101,365
10201,367
10301,373
10401,360
10501,362
10601,365
10701,372
10801,368
10901,386
11001,387
11101,380
11201,380
11301,380
11401,390
11501,394
11601,409
11701,394
11801,399
11901,398
12001,408
12101,402
12201,406
12301,404
12401,421
12501,421
12601,423
12701,416
12801,434
12901,423
13001,431
13101,445
13201,432
13301,439
13401,445
13501,437
13601,441
13701,437
13801,438
13901,444
14001,437
14101,435
14201,435
14301,440
14401,436
14501,441
14601,449
14701,436
14801,439
14901,449
15001,440
15101,449
15201,448
15301,446
15401,451
15501,454
15601,450
15701,450
15801,441
15901,461
16001,453
16101,455
16201,459
16301,451
16401,458
16501,457
16601,452
16701,466
16801,461
16901,459
17001,466
17101,459
17201,464
17301,461
17401,461
17501,460
17601,455
17701,468
17801,463
17901,458
18001,462
18101,461
18201,468
18301,456
18401,475
18501,462
18601,464
18701,456
18801,464
18901,476
19001,460
19101,473
19201,457
19301,463
19401,463
19501,455
19601,468
19701,468
19801,473
19901,469
20001,466
20101,470
20201,469
20301,473
20401,472
20501,482
20601,473
20701,477
20801,481
20901,468
21001,484
21101,478
21201,498
21301,476
21401,490
21501,477
21601,485
21701,470
21801,485
21901,480
22001,487
22101,485
22201,481
22301,476
22401,467
22501,483
22601,468
22701,473
22801,452
22901,464
23001,460
23101,458
23201,457
23301,459
23401,451
23501,461
23601,447
23701,453
23801,456
23901,450
24001,471
24101,455
24201,465
24301,458
24401,454
24501,464
24601,464
24701,464
24801,467
24901,466
25001,465
25101,462
25201,470
25301,459
25401,480
25501,472
25601,471
25701,477
25801,469
25901,481
26001,468
26101,481
26201,480
26301,486
26401,474
26501,482
26601,482
26701,473
26801,483
26901,480
27001,483
27101,477
27201,487
27301,483
27401,487
27501,473
27601,483
27701,475
27801,470
27901,480
28001,473
28101,474
28201,461
28301,478
28401,468
28501,474
28601,463
28701,467
28801,474
28901,470
29001,477
29101,462
29201,470
29301,463
29401,463
29501,470
29601,468
29701,471
29801,470
29901,468
30001,465
30101,463
30201,466
30301,468
30401,465
30501,456
30601,470
30701,470
30801,456
30901,465
31001,469
31101,459
31201,457
31301,463
31401,474
31501,458
31601,467
31701,463
31801,454
31901,473
32001,464
32101,470
32201,463
32301,463
32401,464
32501,456
32601,480
32701,471
32801,477
32901,471
33001,461
33101,473
33201,469
33301,479
33401,480
33501,483
33601,469
33701,476
33801,471
33901,464
34001,475
34101,467
34201,479
34301,469
34401,474
34501,467
34601,476
34701,473
34801,476
34901,472
35001,470
35101,486
35201,466
35301,486
35401,480
35501,488
35601,480
35701,479
35801,480
35901,486
36001,470
36101,475
36201,490
36301,482
36401,491
36501,484
36601,489
36701,483
36801,489
36901,482
37001,499
37101,480
37201,493
37301,484
37401,491
37501,475
37601,481
37701,468
37801,470
37901,468
38001,454
38101,472
38201,451
38301,453
38401,464
38501,449
38601,470
38701,456
38801,443
38901,466
39001,445
39101,452
39201,451
39301,448
39401,453
39501,452
39601,449
39701,450
39801,446
39901,449
40001,456
40101,440
40201,457
40301,449
40401,445
40501,450
40601,449
40701,449
40801,449
40901,449
41001,450
41101,448
41201,453
41301,458
41401,451
41501,450
41601,450
41701,449
41801,451
41901,438
42001,444
42101,456
42201,444
42301,438
42401,463
42501,448
42601,448
42701,450
42801,445
42901,454
43001,445
43101,446
43201,452
43301,440
43401,442
43501,454
43601,444
43701,439
43801,450
43901,439
44001,437
44101,445
44201,445
44301,435
44401,451
44501,438
44601,450
44701,444
44801,441
44901,454
45001,445
45101,440
45201,460
45301,446
45401,451
45501,460
45601,442
45701,466
45801,456
45901,451
46001,466
46101,460
46201,460
46301,456
46401,455
46501,467
46601,460
46701,465
46801,463
46901,464
47001,467
47101,465
47201,471
47301,462
47401,465
47501,469
47601,464
47701,468
47801,467
47901,462
48001,468
48101,460
48201,473
48301,468
48401,462
48501,470
48601,471
48701,474
48801,470
48901,473
49001,457
49101,476
49201,465
49301,468
49401,479
49501,462
49601,482
49701,465
49801,469
49901,464
50001,464
50101,473
50201,471
50301,480
50401,465
50501,482
50601,461
50701,476
50801,472
50901,476
51001,481
51101,476
51201,490
51301,482
51401,485
51501,480
51601,489
51701,480
51801,482
51901,473
52001,475
52101,478
52201,466
52301,479
52401,473
52501,489
52601,472
52701,483
52801,478
52901,468
53001,471
53101,470
53201,475
53301,470
53401,473
53501,472
53601,469
53701,454
53801,456
53901,462
54001,447
54101,461
54201,444
54301,451
54401,458
54501,441
54601,445
54701,452
54801,439
54901,442
55001,442
55101,435
55201,448
55301,444
55401,432
55501,445
55601,439
55701,444
55801,445
55901,447
56001,441
56101,449
56201,442
56301,438
56401,449
56501,432
56601,435
56701,442
56801,441
56901,431
57001,439
57101,434
57201,422
57301,445
57401,436
57501,436
57601,442
57701,427
57801,428
57901,439
58001,441
58101,433
58201,446
58301,445
58401,430
58501,453
58601,438
58701,444
58801,446
58901,437
59001,444
59101,452
59201,434
59301,442
59401,446
59501,443
59601,442
59701,441
59801,448
59901,443
60001,443
60101,441
60201,441
60301,443
60401,447
60501,450
60601,441
60701,442
60801,455
60901,435
61001,439
61101,452
61201,441
61301,441
61401,448
61501,436
61601,445
61701,442
61801,443
61901,443
62001,429
62101,412
62201,411
62301,407
62401,390
62501,382
62601,371
62701,374
62801,358
62901,354
63001,351
63101,351
63201,339
63301,332
63401,331
63501,325
63601,312
63701,304
63801,300
63901,295
64001,292
64101,284
64201,286
64301,297
64401,290
64501,292
64601,281
64701,282
64801,270
64901,272
65001,281
65101,275
65201,260
65301,263
65401,260
65501,274
65601,269
65701,265
65801,258
65901,262
66001,279
66101,273
66201,273
66301,268
66401,265
66501,277
66601,286
66701,276
66801,282
66901,279
67001,272
67101,282
67201,297
67301,288
67401,289
67501,287
67601,283
67701,285
67801,300
67901,316
68001,315
68101,308
68201,306
68301,308
68401,306
68501,306
68601,313
68701,308
68801,305
68901,308
69001,310
69101,302
69201,319
69301,322
69401,320
69501,334
69601,330
69701,337
69801,343
69901,331
70001,344
70101,332
70201,338
70301,336
70401,334
70501,341
70601,340
70701,350
70801,349
70901,348
71001,353
71101,359
71201,352
71301,359
71401,367
71501,372
71601,367
71701,373
71801,358
71901,362
72001,376
72101,363
72201,381
72301,388
72401,385
72501,379
72601,379
72701,385
72801,397
72901,400
73001,396
73101,383
73201,390
73301,400
73401,404
73501,401
73601,400
73701,403
73801,420
73901,410
74001,408
74101,410
74201,422
74301,415
74401,424
74501,420
74601,426
74701,422
74801,428
74901,439
75001,431
75101,435
75201,448
75301,431
75401,427
75501,442
75601,427
75701,435
75801,441
75901,433
76001,432
76101,437
76201,432
76301,432
76401,429
76501,430
76601,430
76701,435
76801,449
76901,431
77001,429
77101,442
77201,424
77301,428
77401,447
77501,435
77601,431
77701,444
77801,434
77901,434
78001,446
78101,435
78201,434
78301,455
78401,438
78501,439
78601,450
78701,439
78801,434
78901,454
79001,434
79101,429
79201,451
79301,434
79401,440
79501,445
79601,436
79701,444
79801,448
79901,432
80001,436
80101,440
80201,447
80301,436
80401,449
80501,442
80601,441
80701,444
80801,445
80901,444
81001,444
81101,442
81201,459
81301,441
81401,443
81501,453
81601,450
81701,445
81801,459
81901,450
82001,457
82101,450
82201,448
82301,464
82401,451
82501,463
82601,454
82701,455
82801,467
82901,457
83001,457
83101,456
83201,456
83301,462
83401,460
83501,451
83601,463
83701,462
83801,466
83901,461
84001,459
84101,469
84201,455
84301,474
84401,469
84501,459
84601,467
84701,459
84801,476
84901,461
85001,467
85101,461
85201,456
85301,468
85401,462
85501,469
85601,461
85701,473
85801,467
85901,453
86001,479
86101,465
86201,485
86301,468
86401,472
86501,470
86601,463
86701,476
86801,461
86901,474
87001,473
87101,479
87201,469
87301,469
87401,471
87501,464
87601,475
87701,466
87801,478
87901,471
88001,476
88101,475
88201,469
88301,484
88401,478
88501,484
88601,473
88701,478
88801,469
88901,468
89001,479
89101,470
89201,483
89301,471
89401,483
89501,469
89601,484
89701,478
89801,484
89901,475
90001,468
90101,478
90201,476
90301,479
90401,480
90501,489
90601,478
90701,491
90801,473
90901,498
91001,479
91101,485
91201,483
91301,487
91401,485
91501,492
91601,477
91701,490
91801,488
91901,484
92001,485
92101,482
92201,479
92301,480
92401,476
92501,475
92601,482
92701,485
92801,488
92901,477
93001,479
93101,484
93201,472
93301,485
93401,481
93501,485
93601,475
93701,486
93801,479
93901,479
